Variable ,Definition
Age,Age in years
Sex,1 = Male ;  0 = Female
Chest_pain_type,"Chest pain type : Value 1 - typical angina, Value 2 - atypical angina, Value 3 - non-anginal pain, Value 4 - asymptomatic"
Resting_BP,Resting Blood Pressure
Cholesterol,serum cholestoral in mg/dl
Fasting_BS,(fasting blood sugar > 120 mg/dl) (1 = true; 0 = false)
Rest_ECG,"resting electrocardiographic results : Vallue 0: normal, Value 1 - having ST-T wave abnormality, Value 2 - Showing probable or definite left ventricular hypertrophy by Estes' criteria"
Max_Heart_Rate,Maximum heart rate achieved
Ex_Induced_Ang,"Exercise induced angina (1 = yes, 0 = no)"
Oldpeak,ST depression induced by exercise relative to rest
Slope,"the slope of the peak exercise ST segment: Value 1 - upsloping , Value 2: flat , Value 3: downsloping"
BLD_VES_Fluros,number of major vessels (0-3) colored by flourosopy
Defect_Type,3 = normal; 6 = fixed defect; 7 = reversable defect
Target,"diagnosis of heart disease (angiographic disease status): Value 0 -  <50% diameter narrowing , Value 1-  >50% diameter narrowing"
,
